Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
Rhein-Ruhr-Express (RRX): Köln - Düsseldorf - Dortmund/ Münster,,PB,http://bvwp-projekte.de/schiene/2-020-V02/2-020-V02.html,schiene,400,0.98,392,4,4,309,78,13
ABS Grenze D/NL - Bad Bentheim - Löhne,,PB,http://bvwp-projekte.de/schiene/2-021-V01/2-021-V01.html,schiene,111,0.874,97,6,8,70,33,8
ABS Hochstadt-Marktzeuln - Hof / Nürnberg - Bayreuth - Neuenmarkt-Wirsberg,,PB,http://bvwp-projekte.de/schiene/2-024-V01/2-024-V01.html,schiene,106,0.896,95,9,2,53,48,5
ABS Dresden - Görlitz - Grenze D/PL,,PB,http://bvwp-projekte.de/schiene/2-029-V01/2-029-V01.html,schiene,110,0.909,100,5,5,59,43,8
ABS Hannover - Berlin (Lehrter Stammbahn),,PB,http://bvwp-projekte.de/schiene/2-032-V01/2-032-V01.html,schiene,222,0.887,197,16,9,154,56,12
ABS Stuttgart - Backnang - Nürnberg,,PB,http://bvwp-projekte.de/schiene/2-033-V01/2-033-V01.html,schiene,253,0.885,224,24,5,116,113,24
ABS Weimar - Gera - Gößnitz,,PB,http://bvwp-projekte.de/schiene/2-038-V01/2-038-V01.html,schiene,116,0.966,112,3,1,69,39,8
ABS Stuttgart - Singen - Grenze D/CH (Gäubahn),,PB,http://bvwp-projekte.de/schiene/2-040-V01/2-040-V01.html,schiene,314,0.924,290,14,10,182,115,17
ABS/NBS Ulm - Augsburg,,PB,http://bvwp-projekte.de/schiene/2-041-V02/2-041-V02.html,schiene,174,0.954,166,8,,112,56,6
ABS Hamburg - Ahrensburg,,PB,http://bvwp-projekte.de/schiene/2-044-V01/2-044-V01.html,schiene,124,0.935,116,5,3,71,47,6
NBS Dresden - Prag,,PB,http://bvwp-projekte.de/schiene/2-045-V01/2-045-V01.html,schiene,137,0.847,116,17,4,68,63,6
ABS Lehrte - Braunschweig - Magdeburg - Roßlau,,PB,http://bvwp-projekte.de/schiene/2-046-V01/2-046-V01.html,schiene,135,0.867,117,9,9,84,45,6
ABS Cuxhaven - Stade,,PB,http://bvwp-projekte.de/schiene/2-047-V01/2-047-V01.html,schiene,106,0.877,93,12,1,52,39,15
ABS Köln - Aachen,,PB,http://bvwp-projekte.de/schiene/2-048-V01/2-048-V01.html,schiene,124,0.919,114,7,3,81,39,4
